key_id,Player Name,player_id,position_code,position_name,team_code,team_id,team_name,tournament_id,tournament_name,Sum of shirt_number
13038,Nahuel Molina,P-84430,DF,defender,ARG,T-03,Argentina,WC-2022,2022 FIFA Men's World Cup,26
13064,Keanu Baccus,P-27035,MF,midfielder,AUS,T-04,Australia,WC-2022,2022 FIFA Men's World Cup,26
13090,Zeno Debast,P-56669,DF,defender,BEL,T-06,Belgium,WC-2022,2022 FIFA Men's World Cup,26
13116,Gabriel Martinelli,P-70483,FW,forward,BRA,T-09,Brazil,WC-2022,2022 FIFA Men's World Cup,26
13142,Souaibou Marou,P-25904,MF,midfielder,CMR,T-11,Cameroon,WC-2022,2022 FIFA Men's World Cup,26
13168,Joel Waterman,P-71727,DF,defender,CAN,T-12,Canada,WC-2022,2022 FIFA Men's World Cup,26
13194,Ãlvaro Zamora,P-22631,MF,midfielder,CRI,T-17,Costa Rica,WC-2022,2022 FIFA Men's World Cup,26
13220,Kristijan JakiÄ‡,P-86466,MF,midfielder,HRV,T-18,Croatia,WC-2022,2022 FIFA Men's World Cup,26
13246,Alexander Bah,P-92135,DF,defender,DNK,T-22,Denmark,WC-2022,2022 FIFA Men's World Cup,26
13272,Kevin RodrÃ­guez,P-02839,FW,forward,ECU,T-25,Ecuador,WC-2022,2022 FIFA Men's World Cup,26
13298,Conor Gallagher,P-46540,MF,midfielder,ENG,T-28,England,WC-2022,2022 FIFA Men's World Cup,26
13324,Marcus Thuram,P-13613,FW,forward,FRA,T-30,France,WC-2022,2022 FIFA Men's World Cup,26
13350,Youssoufa Moukoko,P-04137,FW,forward,DEU,T-31,Germany,WC-2022,2022 FIFA Men's World Cup,26
13376,Alidu Seidu,P-36105,DF,defender,GHA,T-32,Ghana,WC-2022,2022 FIFA Men's World Cup,26
13427,Hiroki Ito,P-41902,DF,defender,JPN,T-44,Japan,WC-2022,2022 FIFA Men's World Cup,26
13453,Kevin Ãlvarez,P-09058,DF,defender,MEX,T-46,Mexico,WC-2022,2022 FIFA Men's World Cup,26
13479,Yahya Jabrane,P-86644,MF,midfielder,MAR,T-47,Morocco,WC-2022,2022 FIFA Men's World Cup,26
13505,Jeremie Frimpong,P-70227,DF,defender,NLD,T-48,Netherlands,WC-2022,2022 FIFA Men's World Cup,26
13531,MichaÅ‚ SkÃ³raÅ›,P-02071,MF,midfielder,POL,T-57,Poland,WC-2022,2022 FIFA Men's World Cup,26
13557,GonÃ§alo Ramos,P-41647,FW,forward,PRT,T-58,Portugal,WC-2022,2022 FIFA Men's World Cup,26
13583,Mostafa Meshaal,P-26637,MF,midfielder,QAT,T-59,Qatar,WC-2022,2022 FIFA Men's World Cup,26
13609,Riyadh Sharahili,P-06750,MF,midfielder,SAU,T-63,Saudi Arabia,WC-2022,2022 FIFA Men's World Cup,26
13635,Pape Gueye,P-45280,MF,midfielder,SEN,T-65,Senegal,WC-2022,2022 FIFA Men's World Cup,26
13661,Marko GrujiÄ‡,P-89573,MF,midfielder,SRB,T-66,Serbia,WC-2022,2022 FIFA Men's World Cup,26
