player_id,Player Name,team_id,team_name,tournament_id,Yellow URL,stage_name,tournament_name,team_code,Second Yellow URL,Red URL,minute_label,match_period,match_name,match_id,Year,Quarter,Month,Day,group_name,booking_id,Sum of yellow_card,Sum of shirt_number,Sum of sending_off,Sum of second_yellow_card,Sum of red_card,Sum of minute_stoppage,Sum of minute_regulation,Sum of home_team,Sum of away_team
P-00020,Randee Hermus,T-12,Canada,WC-2007,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2007 FIFA Women's World Cup,CAN,"","",89',second half,Australia vs Canada,M-2007-21,2007,Qtr 3,September,20,Group C,B-2700,1,11,0,0,0,0,89,0,1
P-00065,Ariel Ortega,T-03,Argentina,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1998 FIFA Men's World Cup,ARG,"","",23',first half,Argentina vs Croatia,M-1998-45,1998,Qtr 2,June,26,Group H,B-1877,1,10,0,0,0,0,23,1,0
P-00065,Ariel Ortega,T-03,Argentina,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,quarter-finals,1998 FIFA Men's World Cup,ARG,"",https://upload.wikimedia.org/wikipedia/commons/e/e7/Red_card.svg,86',second half,Netherlands vs Argentina,M-1998-59,1998,Qtr 3,July,4,not applicable,B-1946,1,10,1,0,1,0,86,0,1
P-00111,Masoud Shojaei,T-38,Iran,WC-2014,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2014 FIFA Men's World Cup,IRN,"","",73',second half,Argentina vs Iran,M-2014-27,2014,Qtr 2,June,21,Group F,B-3129,1,7,0,0,0,0,73,0,1
P-00111,Masoud Shojaei,T-38,Iran,WC-2018,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2018 FIFA Men's World Cup,IRN,"","",10',first half,Morocco vs Iran,M-2018-03,2018,Qtr 2,June,15,Group B,B-3362,1,7,0,0,0,0,10,0,1
P-00148,Yuki Abe,T-44,Japan,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,JPN,"","",90'+1',"second half, stoppage time",Japan vs Cameroon,M-2010-10,2010,Qtr 2,June,14,Group E,B-2764,1,2,0,0,0,1,90,1,0
P-00189,Kevin Gallacher,T-64,Scotland,WC-1998,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1998 FIFA Men's World Cup,SCO,"","",21',first half,Scotland vs Morocco,M-1998-36,1998,Qtr 2,June,23,Group A,B-1842,1,7,0,0,0,0,21,1,0
P-00212,Thomas SÃ¸rensen,T-22,Denmark,WC-2010,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2010 FIFA Men's World Cup,DNK,"","",86',second half,Cameroon vs Denmark,M-2010-26,2010,Qtr 2,June,19,Group E,B-2823,1,1,0,0,0,0,86,0,1
P-00262,Enver HadÅ¾iabdiÄ‡,T-87,Yugoslavia,WC-1974,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,1974 FIFA Men's World Cup,YUG,"","",54',second half,Yugoslavia vs Zaire,M-1974-12,1974,Qtr 2,June,18,Group 2,B-0832,1,3,0,0,0,0,54,1,0
P-00262,Enver HadÅ¾iabdiÄ‡,T-87,Yugoslavia,WC-1974,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,second group stage,1974 FIFA Men's World Cup,YUG,"","",61',second half,Yugoslavia vs West Germany,M-1974-25,1974,Qtr 2,June,26,Group B,B-0869,1,3,0,0,0,0,61,1,0
P-00325, Cris,T-29,Equatorial Guinea,WC-2011,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2011 FIFA Women's World Cup,GNQ,"","",46',second half,Australia vs Equatorial Guinea,M-2011-15,2011,Qtr 3,July,3,Group D,B-3006,1,5,0,0,0,0,46,0,1
P-00336,Lieke Martens,T-48,Netherlands,WC-2015,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2015 FIFA Women's World Cup,NLD,"","",64',second half,New Zealand vs Netherlands,M-2015-02,2015,Qtr 2,June,6,Group A,B-3247,1,11,0,0,0,0,64,0,1
P-00384,Habib Mohamed,T-32,Ghana,WC-2006,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2006 FIFA Men's World Cup,GHA,"","",90'+3',"second half, stoppage time",Czech Republic vs Ghana,M-2006-25,2006,Qtr 2,June,17,Group E,B-2439,1,13,0,0,0,3,90,0,1
P-00393,Abby Erceg,T-49,New Zealand,WC-2007,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2007 FIFA Women's World Cup,NZL,"","",88',second half,Denmark vs New Zealand,M-2007-14,2007,Qtr 3,September,15,Group D,B-2681,1,5,0,0,0,0,88,0,1
P-00393,Abby Erceg,T-49,New Zealand,WC-2015,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2015 FIFA Women's World Cup,NZL,"","",83',second half,China vs New Zealand,M-2015-27,2015,Qtr 2,June,15,Group A,B-3295,1,5,0,0,0,0,83,0,1
P-00429,Jorge NÃºÃ±ez,T-55,Paraguay,WC-2006,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg,group stage,2006 FIFA Men's World Cup,PRY,"","",54',second half,Sweden vs Paraguay,M-2006-20,2006,Qtr 2,June,15,Group B,B-2404,1,2,0,0,0,0,54,0,1
