Team,Participations,Sum of Played,Lost,Goals For,Goals Againest,Goal Difference,Drawn,Sum of Rank,Sum of Won,Played Matches PC
Indonesia,1,1,1,0,6,−6,0,73,0,1
Angola,1,3,1,1,2,−1,2,63,0,3
Israel,1,3,1,1,3,−2,2,64,0,3
Cuba,1,3,1,5,12,−7,1,57,1,3
Trinidad and Tobago,1,3,2,0,4,−4,1,68,0,3
Iceland,1,3,2,2,5,−3,1,66,0,3
Kuwait,1,3,2,2,6,−4,1,67,0,3
Jamaica,1,3,2,3,9,−6,0,60,1,3
Bosnia and Herzegovina,1,3,2,4,4,0,0,59,1,3
East Germany,1,6,2,5,5,0,2,51,2,6
Slovakia,1,4,2,5,7,−2,1,55,1,4
Ukraine,1,5,2,5,7,−2,1,53,2,5
China,1,3,3,0,9,−9,0,76,0,3
DR Congo,1,3,3,0,14,−14,0,79,0,3
Iraq,1,3,3,1,4,−3,0,70,0,3
Togo,1,3,3,1,6,−5,0,71,0,3
Qatar,1,3,3,1,7,−6,0,72,0,3
Panama,1,3,3,2,11,−9,0,74,0,3
United Arab Emirates,1,3,3,2,11,−9,0,74,0,3
Haiti,1,3,3,2,14,−12,0,78,0,3
New Zealand,2,6,3,4,14,−10,3,61,0,6
Wales,2,8,3,5,10,−5,4,54,1,8
Slovenia,2,6,4,5,10,−5,1,56,1,6
Turkey,2,10,4,20,17,3,1,40,5,10
North Korea,2,7,5,6,21,−15,1,58,1,7
El Salvador,2,6,6,1,22,−21,0,80,0,6
Canada,2,6,6,2,12,−10,0,77,0,6
Norway,3,8,3,7,8,−1,3,50,2,8
Republic of Ireland,3,13,3,10,10,0,8,42,2,13
South Africa,3,9,3,11,16,−5,4,49,2,9
Senegal,3,12,4,16,17,−1,3,35,5,12
Bolivia,3,6,5,1,20,−19,1,69,0,6
Egypt,3,7,5,5,12,−7,2,65,0,7
Ivory Coast,3,9,5,13,14,−1,1,48,3,9
Northern Ireland,3,13,5,13,23,−10,5,43,3,13
Honduras,3,9,6,3,14,−11,3,62,0,9
Greece,3,10,6,5,20,−15,2,52,2,10
Ecuador,4,13,6,14,14,0,2,38,5,13
Algeria,4,13,7,13,19,−6,3,47,3,13
Ghana,4,15,7,18,23,−5,3,36,5,15
Peru,5,18,10,21,33,−12,3,37,5,18
Denmark,6,23,8,31,29,2,6,24,9,23
Croatia,6,30,9,43,33,10,8,19,13,30
Tunisia,6,18,10,14,26,−12,5,44,3,18
Costa Rica,6,21,10,22,39,−17,5,30,6,21
Colombia,6,22,10,32,30,2,3,27,9,22
Iran,6,18,11,13,31,−18,4,46,3,18
Morocco,6,23,11,20,27,−7,7,32,5,23
Australia,6,20,12,17,37,−20,4,41,4,20
Nigeria,6,21,12,23,30,−7,3,33,6,21
Saudi Arabia,6,19,13,14,44,−30,2,45,4,19
Romania,7,21,8,30,32,−2,5,28,8,21
Japan,7,25,12,25,33,−8,6,29,7,25
Austria,7,29,13,43,47,−4,4,21,12,29
Bulgaria,7,26,15,22,53,−31,8,39,3,26
Paraguay,8,27,10,30,38,−8,10,25,7,27
Scotland,8,23,12,25,41,−16,7,34,4,23
Portugal,8,35,12,61,41,20,6,15,17,35
Cameroon,8,26,13,22,47,−25,8,31,5,26
Hungary,9,32,14,87,57,30,3,18,15,32
Chile,9,33,15,40,49,−9,7,22,11,33
Poland,9,38,15,49,50,−1,6,16,17,38
Czech Republic,9,33,16,47,49,−2,5,20,12,33
Netherlands,11,55,11,96,52,44,14,8,30,55
Russia,11,45,16,77,54,23,10,12,19,45
United States,11,37,20,40,66,−26,8,23,9,37
South Korea,11,38,21,39,78,−39,10,26,7,38
Switzerland,12,41,19,55,73,−18,8,17,14,41
Sweden,12,51,19,80,73,7,13,11,19,51
Serbia,13,49,22,71,71,0,9,14,18,49
Belgium,14,51,20,69,74,−5,10,10,21,51
Uruguay,14,59,21,89,76,13,13,9,25,59
Spain,16,67,19,108,75,33,17,7,31,67
England,16,73,20,104,68,36,22,6,32,74
France,16,73,20,136,85,51,14,5,39,73
Mexico,17,60,28,62,101,−39,15,13,17,60
Italy,18,83,17,128,77,51,21,4,45,83
Argentina,18,88,24,152,101,51,17,3,47,88
Germany,20,112,23,232,130,102,21,2,68,112
Brazil,22,114,19,237,108,129,19,1,76,114
