Home Team,draw,CountryForMap(Part),Sum of lose,Sum of win,Year
Algeria,0,Algeria,1,2,1982
Algeria,1,Algeria,2,0,1986
Algeria,1,Algeria,2,0,2010
Algeria,1,Algeria,2,1,2014
Angola,2,Angola,1,0,2006
Argentina,0,Argentina,1,4,1930
Argentina,0,Argentina,1,0,1934
Argentina,0,Argentina,2,1,1958
Argentina,0,Argentina,3,2,1982
Argentina,0,Argentina,2,2,1994
Argentina,0,Argentina,1,4,1998
Argentina,0,Argentina,1,4,2010
Argentina,0,Argentina,1,6,2014
Argentina,0,Argentina,1,6,2022
Argentina,1,Argentina,1,1,1962
Argentina,1,Argentina,1,2,1966
Argentina,1,Argentina,1,5,1978
Argentina,1,Argentina,0,6,1986
Argentina,1,Argentina,2,4,1990
Argentina,1,Argentina,1,1,2002
Argentina,1,Argentina,1,3,2006
Argentina,1,Argentina,2,1,2018
Argentina,2,Argentina,3,1,1974
Australia,0,Australia,3,0,2014
Australia,0,Australia,2,2,2022
Australia,1,Australia,2,0,1974
Australia,1,Australia,2,1,2006
Australia,1,Australia,1,1,2010
Australia,1,Australia,2,0,2018
Austria,0,Austria,2,2,1934
Austria,0,Austria,1,4,1954
Austria,0,Austria,3,3,1978
Austria,0,Austria,2,1,1990
Austria,1,Austria,2,0,1958
Austria,1,Austria,2,2,1982
Austria,2,Austria,1,0,1998
Belgium,0,Belgium,2,0,1930
Belgium,0,Belgium,1,0,1934
Belgium,0,Belgium,1,0,1938
Belgium,0,Belgium,2,1,1970
Belgium,0,Belgium,2,2,1990
Belgium,0,Belgium,2,2,1994
Belgium,0,Belgium,1,4,2014
Belgium,0,Belgium,1,6,2018
Belgium,1,Belgium,1,0,1954
Belgium,1,Belgium,2,2,1982
Belgium,1,Belgium,3,3,1986
Belgium,1,Belgium,1,1,2022
Belgium,2,Belgium,1,1,2002
Belgium,3,Belgium,0,0,1998
Bolivia,0,Bolivia,2,0,1930
Bolivia,0,Bolivia,1,0,1950
Bolivia,1,Bolivia,2,0,1994
Bosnia and Herzegovina,0,Bosnia and Herzegovina,2,1,2014
Brazil,0,Brazil,1,1,1930
Brazil,0,Brazil,1,0,1934
Brazil,0,Brazil,2,1,1966
Brazil,0,Brazil,0,6,1970
Brazil,0,Brazil,1,4,1982
Brazil,0,Brazil,1,4,1986
Brazil,0,Brazil,1,3,1990
Brazil,0,Brazil,2,5,1998
Brazil,0,Brazil,0,7,2002
Brazil,0,Brazil,1,4,2006
Brazil,0,Brazil,2,3,2022
Brazil,1,Brazil,1,3,1938
Brazil,1,Brazil,1,4,1950
Brazil,1,Brazil,1,1,1954
Brazil,1,Brazil,0,5,1958
Brazil,1,Brazil,0,5,1962
Brazil,1,Brazil,0,6,1994
Brazil,1,Brazil,1,3,2010
Brazil,1,Brazil,2,4,2014
Brazil,1,Brazil,1,3,2018
Brazil,2,Brazil,2,3,1974
Brazil,3,Brazil,0,4,1978
Bulgaria,0,Bulgaria,3,0,1966
Bulgaria,0,Bulgaria,3,4,1994
Bulgaria,1,Bulgaria,2,0,1962
Bulgaria,1,Bulgaria,2,0,1970
Bulgaria,1,Bulgaria,2,0,1998
Bulgaria,2,Bulgaria,1,0,1974
Bulgaria,2,Bulgaria,2,0,1986
Cameroon,0,Cameroon,2,3,1990
Cameroon,0,Cameroon,3,0,2010
Cameroon,0,Cameroon,3,0,2014
Cameroon,1,Cameroon,2,0,1994
Cameroon,1,Cameroon,1,1,2002
Cameroon,1,Cameroon,1,1,2022
Cameroon,2,Cameroon,1,0,1998
Cameroon,3,Cameroon,0,0,1982
Canada,0,Canada,3,0,1986
Canada,0,Canada,3,0,2022
Chile,0,Chile,1,2,1930
Chile,0,Chile,2,1,1950
Chile,0,Chile,2,4,1962
Chile,0,Chile,3,0,1982
Chile,0,Chile,2,2,2010
Chile,0,Chile,2,2,2014
Chile,1,Chile,2,0,1966
Chile,2,Chile,1,0,1974
Chile,3,Chile,1,0,1998
China,0,China,3,0,2002
Colombia,0,Colombia,2,1,1994
Colombia,0,Colombia,2,1,1998
Colombia,0,Colombia,1,4,2014
Colombia,0,Colombia,2,2,2018
Colombia,1,Colombia,2,0,1962
Colombia,1,Colombia,2,1,1990
Costa Rica,0,Costa Rica,2,2,1990
