Year,ID,Stage,Home Team,Home Goals,Away Goals,Away Team,Year,Month,Day,Host Team,draw,lose ,Loser,win,Winner,Win Conditions,total goals
1930,1,Group stage,France,4,1,Mexico,1930,July,13,false,"",Mexico,Mexico,France,France,Actual Time,5
1930,2,Group stage,United States,3,0,Belgium,1930,July,13,false,"",Belgium,Belgium,United States,United States,Actual Time,3
1930,3,Group stage,Yugoslavia,2,1,Brazil,1930,July,14,false,"",Brazil,Brazil,Yugoslavia,Yugoslavia,Actual Time,3
1930,4,Group stage,Romania,3,1,Peru,1930,July,14,false,"",Peru,Peru,Romania,Romania,Actual Time,4
1930,5,Group stage,Argentina,1,0,France,1930,July,15,false,"",France,France,Argentina,Argentina,Actual Time,1
1930,6,Group stage,Chile,3,0,Mexico,1930,July,16,false,"",Mexico,Mexico,Chile,Chile,Actual Time,3
1930,7,Group stage,Yugoslavia,4,0,Bolivia,1930,July,17,false,"",Bolivia,Bolivia,Yugoslavia,Yugoslavia,Actual Time,4
1930,8,Group stage,United States,3,0,Paraguay,1930,July,17,false,"",Paraguay,Paraguay,United States,United States,Actual Time,3
1930,9,Group stage,Uruguay,1,0,Peru,1930,July,18,true,"",Peru,Peru,Uruguay,Uruguay,Actual Time,1
1930,10,Group stage,Chile,1,0,France,1930,July,19,false,"",France,France,Chile,Chile,Actual Time,1
1930,11,Group stage,Argentina,6,3,Mexico,1930,July,19,false,"",Mexico,Mexico,Argentina,Argentina,Actual Time,9
1930,12,Group stage,Brazil,4,0,Bolivia,1930,July,20,false,"",Bolivia,Bolivia,Brazil,Brazil,Actual Time,4
1930,13,Group stage,Paraguay,1,0,Belgium,1930,July,20,false,"",Belgium,Belgium,Paraguay,Paraguay,Actual Time,1
1930,14,Group stage,Uruguay,4,0,Romania,1930,July,21,true,"",Romania,Romania,Uruguay,Uruguay,Actual Time,4
1930,15,Group stage,Argentina,3,1,Chile,1930,July,22,false,"",Chile,Chile,Argentina,Argentina,Actual Time,4
1930,16,Semi-finals,Argentina,6,1,United States,1930,July,26,false,"",United States,United States,Argentina,Argentina,Actual Time,7
1930,17,Semi-finals,Uruguay,6,1,Yugoslavia,1930,July,27,true,"",Yugoslavia,Yugoslavia,Uruguay,Uruguay,Actual Time,7
1930,18,Final,Uruguay,4,2,Argentina,1930,July,30,true,"",Argentina,Argentina,Uruguay,Uruguay,Actual Time,6
1934,19,Round of 16,Austria,3,2,France,1934,May,27,false,"",France,France,Austria,Austria,Extra time,5
1934,20,Round of 16,Hungary,4,2,Egypt,1934,May,27,false,"",Egypt,Egypt,Hungary,Hungary,Actual Time,6
1934,21,Round of 16,Switzerland,3,2,Netherlands,1934,May,27,false,"",Netherlands,Netherlands,Switzerland,Switzerland,Actual Time,5
1934,22,Round of 16,Sweden,3,2,Argentina,1934,May,27,false,"",Argentina,Argentina,Sweden,Sweden,Actual Time,5
1934,23,Round of 16,Germany,5,2,Belgium,1934,May,27,false,"",Belgium,Belgium,Germany,Germany,Actual Time,7
1934,24,Round of 16,Spain,3,1,Brazil,1934,May,27,false,"",Brazil,Brazil,Spain,Spain,Actual Time,4
1934,25,Round of 16,Italy,7,1,United States,1934,May,27,true,"",United States,United States,Italy,Italy,Actual Time,8
1934,26,Round of 16,Czechoslovakia,2,1,Romania,1934,May,27,false,"",Romania,Romania,Czechoslovakia,Czechoslovakia,Actual Time,3
1934,27,Quarter-finals,Czechoslovakia,3,2,Switzerland,1934,May,31,false,"",Switzerland,Switzerland,Czechoslovakia,Czechoslovakia,Actual Time,5
1934,28,Quarter-finals,Germany,2,1,Sweden,1934,May,31,false,"",Sweden,Sweden,Germany,Germany,Actual Time,3
1934,29,Quarter-finals,Italy,1,1,Spain,1934,May,31,true,draw,"",Draw,"",Draw,Actual Time,2
1934,30,Quarter-finals,Austria,2,1,Hungary,1934,May,31,false,"",Hungary,Hungary,Austria,Austria,Actual Time,3
1934,31,Quarter-finals,Italy,1,0,Spain,1934,June,1,true,"",Spain,Spain,Italy,Italy,Actual Time,1
1934,32,Semi-finals,Italy,1,0,Austria,1934,June,3,true,"",Austria,Austria,Italy,Italy,Actual Time,1
1934,33,Semi-finals,Czechoslovakia,3,1,Germany,1934,June,3,false,"",Germany,Germany,Czechoslovakia,Czechoslovakia,Actual Time,4
1934,34,Third place,Germany,3,2,Austria,1934,June,7,false,"",Austria,Austria,Germany,Germany,Actual Time,5
1934,35,Final,Italy,2,1,Czechoslovakia,1934,June,10,true,"",Czechoslovakia,Czechoslovakia,Italy,Italy,Extra time,3
1938,36,Round of 16,Switzerland,1,1,Germany,1938,June,4,false,draw,"",Draw,"",Draw,Actual Time,2
1938,37,Round of 16,Hungary,6,0,Indonesia,1938,June,5,false,"",Indonesia,Indonesia,Hungary,Hungary,Actual Time,6
1938,38,Round of 16,France,3,1,Belgium,1938,June,5,true,"",Belgium,Belgium,France,France,Actual Time,4
